+------------------------------------+-------+---------+-----------+
| Material List for schematic 'YAMS V2 Deco' (2 of 2 regions)      |
+------------------------------------+-------+---------+-----------+
| Item                               | Total | Missing | Available |
| Tuff Slab                          |     1 |       1 |         0 |
| Turtle Egg                         |     1 |       1 |         0 |
| Verdant Froglight                  |     1 |       1 |         0 |
| Warped Fungus                      |     1 |       1 |         0 |
| Warped Hyphae                      |     1 |       1 |         0 |
| Warped Nylium                      |     1 |       1 |         0 |
| Water Bottle                       |     1 |       1 |         0 |
| Waxed Block of Copper              |     1 |       1 |         0 |
| Waxed Oxidized Cut Copper Stairs   |     1 |       1 |         0 |
| Waxed Weathered Copper Bulb        |     1 |       1 |         0 |
| Wet Sponge                         |     1 |       1 |         0 |
| White Carpet                       |     1 |       1 |         0 |
| White Glazed Terracotta            |     1 |       1 |         0 |
| White Stained Glass Pane           |     1 |       1 |         0 |
| White Terracotta                   |     1 |       1 |         0 |
| White Wool                         |     1 |       1 |         0 |
| Wither Rose                        |     1 |       1 |         0 |
| Wither Skeleton Skull              |     1 |       1 |         0 |
| Yellow Carpet                      |     1 |       1 |         0 |
| Yellow Concrete                    |     1 |       1 |         0 |
| Yellow Concrete Powder             |     1 |       1 |         0 |
| Yellow Glazed Terracotta           |     1 |       1 |         0 |
| Yellow Stained Glass Pane          |     1 |       1 |         0 |
| Yellow Terracotta                  |     1 |       1 |         0 |
| Yellow Wool                        |     1 |       1 |         0 |
+------------------------------------+-------+---------+-----------+
| Item                               | Total | Missing | Available |
+------------------------------------+-------+---------+-----------+
